INT Temp [°C];AUX Temp [°C];COMP Temp [°C];RELAY Temp [°C];INT Filter Temp [°C];AUX Filter Temp [°C];COMP Filter Temp [°C];RELAY Filter Temp [°C];Relay Control;Battery Charger;Power Dissipation [W];Relay Resistance [Ohm]
23.2455;21.4037;22.9411;21.7301;23.1813;21.4746;22.8966;21.7841;0.0000;0.0000;0.0000;0.0146
23.0932;21.4539;23.0678;21.7804;23.1811;21.4749;22.8968;21.7840;0.0000;0.0000;0.0000;0.0146
23.0932;21.7301;22.7639;21.7804;23.1800;21.4750;22.8970;21.7846;0.0000;0.0000;0.0000;0.0146
23.0932;21.6045;22.9411;21.8307;23.1801;21.4752;22.8979;21.7852;0.0000;0.0000;0.0000;0.0146
23.0425;21.5543;22.9665;21.7552;23.1789;21.4753;22.8991;21.7859;0.0000;0.0000;0.0000;0.0146
23.1439;21.4037;22.9411;21.8307;23.1785;21.4752;22.8994;21.7862;0.0000;0.0000;0.0000;0.0146
23.1186;21.4539;22.9918;21.7552;23.1785;21.4752;22.8991;21.7857;0.0000;0.0000;0.0000;0.0146
23.1693;21.4288;22.8651;21.7804;23.1790;21.4752;22.8998;21.7846;0.0000;0.0000;0.0000;0.0146
23.2962;21.5041;22.9158;22.0571;23.1787;21.4751;22.8994;21.7869;0.0000;0.0000;0.0000;0.0146
23.2455;21.5794;22.9665;21.8307;23.1770;21.4752;22.8999;21.7863;0.0000;0.0000;0.0000;0.0146
23.0932;21.4288;22.8145;21.8307;23.1765;21.4751;22.9001;21.7859;0.0000;0.0000;0.0000;0.0146
23.2455;21.4288;22.8651;21.7050;23.1768;21.4751;22.9000;21.7851;0.0000;0.0000;0.0000;0.0146
23.2201;21.4790;22.8145;21.8558;23.1771;21.4750;22.8992;21.7854;0.0000;0.0000;0.0000;0.0146
23.2201;21.3787;22.8145;21.8055;23.1766;21.4751;22.8986;21.7843;0.0000;0.0000;0.0000;0.0146
23.2455;21.6296;22.8905;21.7552;23.1766;21.4753;22.8993;21.7841;0.0000;0.0000;0.0000;0.0146
23.1186;21.3536;22.9411;21.7301;23.1752;21.4751;22.8990;21.7830;0.0000;0.0000;0.0000;0.0146
23.1186;21.4539;22.8651;21.7804;23.1751;21.4752;22.9000;21.7822;0.0000;0.0000;0.0000;0.0146
23.1186;21.4037;22.9158;21.8810;23.1738;21.4752;22.9000;21.7830;0.0000;0.0000;0.0000;0.0146
23.2455;21.5041;22.9158;21.7804;23.1748;21.4752;22.9000;21.7834;0.0000;0.0000;0.0000;0.0146
23.1693;21.4288;22.8905;21.8055;23.1758;21.4753;22.9007;21.7837;0.0000;0.0000;0.0000;0.0146
23.2455;21.4790;22.9158;21.8307;23.1769;21.4752;22.9010;21.7832;0.0000;0.0000;0.0000;0.0146
23.1186;21.3035;22.9918;21.9313;23.1772;21.4752;22.9012;21.7842;0.0000;0.0000;0.0000;0.0146
23.0678;21.4288;22.9665;21.8307;23.1764;21.4752;22.9011;21.7839;0.0000;0.0000;0.0000;0.0146
23.2201;21.5292;22.8651;21.7552;23.1773;21.4751;22.9008;21.7834;0.0000;0.0000;0.0000;0.0146
23.2455;21.4539;22.8905;21.7050;23.1755;21.4751;22.9010;21.7838;0.0000;0.0000;0.0000;0.0146
23.1186;21.4288;22.8398;21.8810;23.1744;21.4751;22.9005;21.7846;0.0000;0.0000;0.0000;0.0146
23.1693;21.5292;22.8651;21.8307;23.1741;21.4750;22.9003;21.7848;0.0000;0.0000;0.0000;0.0146
23.1947;21.5292;22.9918;21.7552;23.1742;21.4749;22.9006;21.7852;0.0000;0.0000;0.0000;0.0146
23.1186;21.5794;22.9411;21.8558;23.1742;21.4749;22.9001;21.7862;0.0000;0.0000;0.0000;0.0146
23.1439;21.6045;22.8905;21.8558;23.1734;21.4748;22.9003;21.7869;0.0000;0.0000;0.0000;0.0146
23.1439;21.6296;22.9158;21.7552;23.1729;21.4748;22.9009;21.7860;0.0000;0.0000;0.0000;0.0146
23.2455;21.4539;22.8905;21.8307;23.1741;21.4750;22.9006;21.7867;0.0000;0.0000;0.0000;0.0146
23.2455;21.5292;22.8905;21.7050;23.1736;21.4749;22.9001;21.7863;0.0000;0.0000;0.0000;0.0146
23.2201;21.5543;22.8905;21.7552;23.1743;21.4751;22.8997;21.7874;0.0000;0.0000;0.0000;0.0146
23.0678;21.5292;22.8651;21.7804;23.1740;21.4749;22.8986;21.7872;0.0000;0.0000;0.0000;0.0146
23.2455;21.3536;22.8651;21.8558;23.1734;21.4748;22.8973;21.7872;0.0000;0.0000;0.0000;0.0146
23.2455;21.5543;22.9411;21.7804;23.1737;21.4747;22.8968;21.7867;0.0000;0.0000;0.0000;0.0146
23.2962;21.5292;22.8905;21.9816;23.1733;21.4749;22.8969;21.7874;0.0000;0.0000;0.0000;0.0146
23.1947;21.5292;22.9158;21.9061;23.1732;21.4751;22.8962;21.7875;0.0000;0.0000;0.0000;0.0146
23.1439;21.5292;22.9411;21.8307;23.1723;21.4751;22.8963;21.7879;0.0000;0.0000;0.0000;0.0146
23.2708;21.4539;22.8905;21.7050;23.1721;21.4751;22.8964;21.7879;0.0000;0.0000;0.0000;0.0146
23.1186;21.4288;22.8145;21.9061;23.1735;21.4750;22.8963;21.7876;0.0000;0.0000;0.0000;0.0146
23.1439;21.4790;22.8145;21.8307;23.1745;21.4751;22.8965;21.7871;0.0000;0.0000;0.0000;0.0146
23.1947;21.3536;22.9158;21.8055;23.1759;21.4751;22.8957;21.7864;0.0000;0.0000;0.0000;0.0146
23.2455;21.4790;22.8398;21.9313;23.1764;21.4752;22.8962;21.7867;0.0000;0.0000;0.0000;0.0146
23.2708;21.3787;22.9665;21.8307;23.1756;21.4752;22.8968;21.7868;0.0000;0.0000;0.0000;0.0146
23.2201;21.5292;22.8905;21.8307;23.1758;21.4754;22.8976;21.7877;0.0000;0.0000;0.0000;0.0146
23.2455;21.5041;22.8905;21.7301;23.1768;21.4755;22.8973;21.7876;0.0000;0.0000;0.0000;0.0146
23.1693;21.4288;22.8905;21.7301;23.1765;21.4754;22.8980;21.7894;0.0000;0.0000;0.0000;0.0146
23.1693;21.4539;22.8905;21.8055;23.1775;21.4756;22.8986;21.7897;0.0000;0.0000;0.0000;0.0146
23.1186;21.4790;23.0425;21.8558;23.1773;21.4756;22.8988;21.7897;0.0000;0.0000;0.0000;0.0146
23.2455;21.4037;22.9411;21.3285;23.1778;21.4753;22.8995;21.7892;0.0000;0.0000;0.0000;0.0146
23.0171;21.6296;22.7892;21.8307;23.1765;21.4754;22.9008;21.7889;0.0000;0.0000;0.0000;0.0146
23.1186;21.5292;22.8398;21.7050;23.1768;21.4754;22.9003;21.7879;0.0000;0.0000;0.0000;0.0146
23.2455;21.5041;23.0425;21.7301;23.1774;21.4754;22.9006;21.7880;0.0000;0.0000;0.0000;0.0146
23.1693;21.4790;22.9158;21.7552;23.1778;21.4754;22.9015;21.7879;0.0000;0.0000;0.0000;0.0146
23.2455;21.5794;22.8651;21.7301;23.1768;21.4754;22.9009;21.7880;0.0000;0.0000;0.0000;0.0146
23.2201;21.3285;22.8905;21.7804;23.1767;21.4753;22.8997;21.7894;0.0000;0.0000;0.0000;0.0146
23.0425;21.3536;22.8398;22.0320;23.1765;21.4754;22.8991;21.7903;0.0000;0.0000;0.0000;0.0146
23.1693;21.4539;22.8905;21.6799;23.1764;21.4752;22.8990;21.7887;0.0000;0.0000;0.0000;0.0146
23.1186;21.5041;22.9158;21.8307;23.1772;21.4750;22.8992;21.7881;0.0000;0.0000;0.0000;0.0146
23.2708;21.3787;22.9158;21.7301;23.1774;21.4749;22.8994;21.7883;0.0000;0.0000;0.0000;0.0146
23.2455;21.4790;22.8651;21.5041;23.1784;21.4749;22.9000;21.7878;0.0000;0.0000;0.0000;0.0146
23.2708;21.3787;22.8905;21.8810;23.1787;21.4746;22.9001;21.7877;0.0000;0.0000;0.0000;0.0146
23.2201;21.4539;22.8905;21.8055;23.1786;21.4748;22.9000;21.7866;0.0000;0.0000;0.0000;0.0146
23.2455;21.5041;22.8905;21.7804;23.1791;21.4747;22.8994;21.7859;0.0000;0.0000;0.0000;0.0146
23.1693;21.4037;22.8145;21.7552;23.1779;21.4747;22.8983;21.7857;0.0000;0.0000;0.0000;0.0146
23.1439;21.3536;22.8398;21.7050;23.1775;21.4744;22.8992;21.7845;0.0000;0.0000;0.0000;0.0146
23.1693;21.5543;23.0425;21.7804;23.1784;21.4743;22.8998;21.7837;0.0000;0.0000;0.0000;0.0146
23.2455;21.3536;22.8651;21.7804;23.1776;21.4742;22.8992;21.7845;0.0000;0.0000;0.0000;0.0146
23.0171;21.4288;22.9918;21.8055;23.1779;21.4741;22.8987;21.7841;0.0000;0.0000;0.0000;0.0146
23.0932;21.3787;22.9665;21.9313;23.1792;21.4741;22.8998;21.7848;0.0000;0.0000;0.0000;0.0146
23.1693;21.5041;22.9918;21.9313;23.1805;21.4742;22.9003;21.7854;0.0000;0.0000;0.0000;0.0146
23.1439;21.4288;22.8145;21.9564;23.1802;21.4741;22.8997;21.7868;0.0000;0.0000;0.0000;0.0146
23.1186;21.5794;22.9158;21.8307;23.1816;21.4741;22.9007;21.7864;0.0000;0.0000;0.0000;0.0146
